"ID","Type","Name","Documentation","Source","Target"
"f759b801","AccessRelationship","Party of","","7430b38a","d9b126b8"
"bb478097","AccessRelationship","Party of","","75d26025","d9b126b8"
"4c5e30dd","AssociationRelationship","Contracted with","","75d26025","7430b38a"
"8c587d4c","CompositionRelationship","","","b4ee3376","2debd40b"
"c33538fa","CompositionRelationship","","","b4ee3376","1ac4b359"
"a0044e82","CompositionRelationship","","","b4ee3376","e9ec9136"
"64616c09","FlowRelationship","","","71b44618","ca629ab4"
"a545cbf7","FlowRelationship","","","0ecbcd32","ca629ab4"
"6877c8be","FlowRelationship","","","826eb4ba","d9f878bd"
"4560e151","FlowRelationship","","","d9f878bd","9f8e9022"
"066d2f46","FlowRelationship","","","9f8e9022","c6434aa4"
"cf500ded","FlowRelationship","","","9f8e9022","e9e88d47"
"45417fff","FlowRelationship","Assign to group","","bc02e1bf","0ecbcd32"
"553d4827","FlowRelationship","Assign to user","","60262786","7e548be9"
"1b9007d8","FlowRelationship","Cancel","","c4f17f85","ca629ab4"
"89bafdcf","FlowRelationship","Cancel","","531870e0","ca629ab4"
"656c79a5","FlowRelationship","Cancel","","5b059180","ca629ab4"
"ae11cabf","FlowRelationship","Cancel","","7e548be9","ca629ab4"
"6021757e","FlowRelationship","Cancel","","bc02e1bf","ca629ab4"
"005746b7","FlowRelationship","Close","","c4f17f85","1fb660b3"
"6e1e152e","FlowRelationship","Fulfiller Acknowledge","","60262786","ca629ab4"
"b0a2e30f","FlowRelationship","Group Acknowledge","","0ecbcd32","5b059180"
"07d65b51","FlowRelationship","Resolve","","531870e0","c4f17f85"
"7ea78134","FlowRelationship","Wait","","531870e0","71b44618"
"5f182381","FlowRelationship","Work in progress","","60262786","531870e0"
"fa1e9f80","SpecialisationRelationship","","","d9b126b8","408c9cc2"
"7adce686","TriggeringRelationship","","","6db30003","7e1dcbf0"
"6391cae7","TriggeringRelationship","","","7e1dcbf0","bc02e1bf"
"6134889d","TriggeringRelationship","","","c6434aa4","25e71bf9"
"5f2996b4","TriggeringRelationship","","","9f8e9022","c6434aa4"
"0722fc62","TriggeringRelationship","","","9f8e9022","25e71bf9"